predictor,MAE,RMSE,MAPE,R2,Dir_Acc,Bias,Spearman
Model,0.04183,0.05848,192854605825.201,-0.0206,0.543,0.003422,-0.0054
Naive (RW),0.05952,0.08436,235834314583.033,-1.1237,0.5059,-0.000127,-0.0099
