date,y_true,y_pred,fold,train_size,log_likelihood,aic,bic,r2_train
2017-01-15,0.0031397200046678463,-0.15700639623336302,54,104,104.5658,-159.1316,-93.0218,0.3475
2017-01-22,0.01039510400033997,-0.19617766295073696,55,104,104.1217,-158.2434,-92.1337,0.3357
2017-01-29,0.006185586732710744,-0.197045635763821,56,104,102.5879,-155.1757,-89.0659,0.2893
2017-02-05,0.07520852621029202,-0.18993857492969832,57,104,103.0156,-156.0312,-89.9215,0.2838
2017-02-12,-0.016338662354789105,-0.13546828938413083,58,104,105.7226,-161.4453,-95.3355,0.289
2017-02-19,-0.024523053322945795,-0.07321955824194705,59,104,105.869,-161.7381,-95.6283,0.2785
2017-02-26,0.07368228928102923,-0.020510567428656923,60,104,106.2198,-162.4396,-96.3298,0.2749
2017-03-05,0.0746349813885809,-0.04900115489783462,61,104,106.7133,-163.4267,-97.3169,0.2749
2017-03-12,-0.03130690462504402,0.0075664774006976914,62,104,106.6288,-163.2577,-97.1479,0.2697
2017-03-19,-0.18055633126938556,-0.11415480768751793,63,104,106.7295,-163.4589,-97.3492,0.2713
2017-03-26,-0.0257248912384357,-0.04757267393132371,64,104,106.7007,-163.4014,-97.2916,0.2709
2017-04-02,-0.030873455378807927,-0.05711770465873206,65,104,107.5151,-165.0302,-98.9204,0.2821
2017-04-09,0.014452725166480355,-0.012814566929598193,66,104,107.7425,-165.485,-99.3752,0.2864
2017-04-16,0.02829350864261178,0.06795016971625163,67,104,107.8417,-165.6834,-99.5736,0.2837
2017-04-23,-0.002148228538289495,0.05744820221568433,68,104,107.8135,-165.6269,-99.5172,0.2833
2017-04-30,0.06956618381453669,0.04144439217820504,69,104,107.262,-164.5239,-98.4142,0.2752
2017-05-07,-0.002008032803245746,0.029008117740005914,70,104,106.8145,-163.629,-97.5192,0.2695
2017-05-14,0.059500727107614074,0.034739352984582854,71,104,106.5181,-163.0362,-96.9265,0.265
2017-05-21,-0.0009474183560399392,0.05906578256453403,72,104,110.6611,-171.3223,-105.2125,0.268
2017-05-28,-0.07476440337965669,-0.010559749982310391,73,104,110.7473,-171.4945,-105.3848,0.2693
2017-06-04,0.05562506316895912,-0.010120745658378944,74,104,110.9059,-171.8119,-105.7021,0.2719
2017-06-11,-0.08674790708954147,0.06116149819033547,75,104,110.7966,-171.5932,-105.4834,0.2652
2017-06-18,0.06526270563875558,0.029663787248254303,76,104,110.8757,-171.7515,-105.6417,0.2664
2017-06-25,-0.02296656112004776,-0.011660435461613623,77,104,109.8332,-169.6665,-103.5567,0.2561
2017-07-02,0.011049836186584935,-0.13223551078157733,78,104,110.7876,-171.5752,-105.4655,0.2662
2017-07-09,-0.006012042156627834,-0.010948853584842535,79,104,115.8097,-181.6194,-115.5096,0.3212
2017-07-16,-0.00503779402995707,0.0590160018278982,80,104,117.8422,-185.6843,-119.5745,0.2665
2017-07-23,-0.007095822981469105,-0.008572002299756184,81,104,118.9317,-187.8634,-121.7536,0.2609
2017-07-30,0.10698686283475993,-0.04767860511268804,82,104,119.0381,-188.0761,-121.9664,0.2612
2017-08-06,0.0490512948668293,0.0010997877166981146,83,104,119.3452,-188.6904,-122.5806,0.2644
2017-08-13,-0.03003759395453655,0.0012991801778609443,84,104,118.9728,-187.9457,-121.8359,0.2598
2017-08-20,0.08588967188042973,0.08452403828861872,85,104,119.7708,-189.5415,-123.4317,0.2715
2017-08-27,-0.048049697641708314,0.056653796761229766,86,104,119.2783,-188.5567,-122.4469,0.2578
2017-09-03,0.022204157311010372,0.027438662433701508,87,104,121.8799,-193.7598,-127.65,0.2815
2017-09-10,-0.03436764350420777,0.07620599535602443,88,104,121.8745,-193.7491,-127.6393,0.2732
2017-09-17,-0.11964228046385543,-0.060322317561573593,89,104,121.7555,-193.5109,-127.4012,0.2664
2017-09-24,-0.046379279585121606,0.042888133063657144,90,104,120.0196,-190.0392,-123.9295,0.2737
2017-10-01,0.03249016742445436,-0.008234805926660312,91,104,120.0052,-190.0104,-123.9006,0.273
2017-10-08,-0.06393930010695757,-0.09263082590802041,92,104,120.2179,-190.4359,-124.3261,0.27
2017-10-15,0.033510989083062076,-0.03354621514399745,93,104,120.6472,-191.2944,-125.1847,0.2759
2017-10-22,0.0010293361691140592,0.019381655041077195,94,104,127.3815,-204.7629,-138.6531,0.2414
2017-10-29,-0.02500130220541727,0.031503372458006856,95,104,127.2666,-204.5331,-138.4234,0.2321
2017-11-05,-0.017021687569430635,0.03626451324538038,96,104,128.1011,-206.2022,-140.0924,0.2262
2017-11-12,0.03583101952692677,0.018808383401411694,97,104,129.4914,-208.9828,-142.873,0.2425
2017-11-19,-0.07634011593766275,0.03343926871495207,98,104,129.6213,-209.2427,-143.1329,0.246
2017-11-26,0.02754995176823065,0.053752110360684814,99,104,129.8071,-209.6141,-143.5043,0.2485
2017-12-03,0.03629000140520043,0.034227615580810056,100,104,129.873,-209.746,-143.6362,0.242
2017-12-10,0.05008711651364896,0.025926339518256014,101,104,129.883,-209.766,-143.6562,0.2429
2017-12-17,0.030439267106438957,0.06134923501142218,102,104,127.6013,-205.2027,-139.0929,0.218
2017-12-24,0.04352626504989093,0.03962607997331328,103,104,127.7011,-205.4021,-139.2924,0.2232
2017-12-31,0.0009254975209429712,-0.007674819511976691,104,104,135.3668,-220.7335,-154.6238,0.2027
2018-01-07,-0.006496542570398315,0.06731063119773746,105,104,141.2588,-232.5177,-166.4079,0.2654
2018-01-14,-0.010294896726861973,0.049381191071842676,106,104,141.442,-232.884,-166.7742,0.2643
2018-01-21,-0.045221750203520795,0.04994761254097114,107,104,141.1495,-232.299,-166.1892,0.2595
2018-01-28,0.023347363996991107,0.03131159359257829,108,104,140.7562,-231.5124,-165.4026,0.254
2018-02-04,0.10401345493262637,0.008652582176485396,109,104,141.3218,-232.6435,-166.5337,0.2751
2018-02-11,-0.021901882918382895,-0.05012075033438119,110,104,141.1413,-232.2826,-166.1728,0.27
2018-02-18,-0.10447516810110194,-0.02638076639832325,111,104,140.9646,-231.9292,-165.8194,0.2682
2018-02-25,-0.040125744005777286,0.002445568745239427,112,104,143.579,-237.1581,-171.0483,0.291
2018-03-04,0.019260605541815655,-0.038807117522010326,113,104,149.4909,-248.9818,-182.872,0.3039
2018-03-11,0.034537226432361685,-0.04680321450818831,114,104,150.0983,-250.1967,-184.0869,0.3114
2018-03-18,-0.0038872740884017677,-0.01657928980137454,115,104,153.7534,-257.5069,-191.3971,0.3576
2018-03-25,-0.01966631720999592,-0.019054601851606158,116,104,160.2015,-270.4031,-204.2933,0.3578
2018-04-01,0.052236245895420794,-0.047480659875104705,117,104,159.9382,-269.8764,-203.7667,0.3541
2018-04-08,0.03245532889397787,-0.018359225949678065,118,104,160.8634,-271.7268,-205.617,0.3611
2018-04-15,0.01628995297926855,-0.08411821532548958,119,104,160.9299,-271.8598,-205.75,0.3684
2018-04-22,0.013375143662432462,-0.0916762653019144,120,104,161.3425,-272.685,-206.5752,0.3682
2018-04-29,0.03993586242859743,-0.11051927028150976,121,104,161.4751,-272.9501,-206.8403,0.3651
2018-05-06,0.004246290881451224,-0.10898737768499306,122,104,162.1456,-274.2912,-208.1814,0.361
2018-05-13,-0.01623273576181908,-0.12662473211678335,123,104,163.774,-277.548,-211.4382,0.3557
2018-05-20,-0.0043159324655685895,-0.11841283691598758,124,104,164.8371,-279.6741,-213.5643,0.3704
2018-05-27,0.011182912239745529,-0.06728146946201978,125,104,162.0667,-274.1334,-208.0236,0.3209
2018-06-03,0.10004272287047888,-0.07617550640233342,126,104,162.0247,-274.0495,-207.9397,0.3144
2018-06-10,-0.03785941104342239,-0.08020860111288951,127,104,162.0113,-274.0226,-207.9128,0.3144
2018-06-17,-0.051124075333081186,-0.01868653056477601,128,104,161.1604,-272.3209,-206.2111,0.2899
2018-06-24,-0.0810302227428541,-0.05352555864231501,129,104,162.6766,-275.3533,-209.2435,0.2878
2018-07-01,0.050099922051495493,-0.020339625517145882,130,104,164.5627,-279.1254,-213.0156,0.3143
2018-07-08,0.01214238682572534,-0.045901450019837454,131,104,166.3183,-282.6365,-216.5267,0.333
2018-07-15,-0.023551023072403976,-0.04197468749799107,132,104,165.6651,-281.3302,-215.2205,0.3202
2018-07-22,-0.03046830662438493,-0.014702980214250583,133,104,165.4614,-280.9229,-214.8131,0.3161
2018-07-29,0.10198813858390574,-0.0006405683421897013,134,104,164.6054,-279.2109,-213.1011,0.3056
2018-08-05,-0.1352937146455792,0.007029452201252585,135,104,168.9238,-287.8476,-221.7378,0.3079
2018-08-12,-0.09568654412942994,0.06933181484565272,136,104,166.7204,-283.4409,-217.3311,0.2626
2018-08-19,-0.005189425242225608,0.04374766843256554,137,104,167.2354,-284.4707,-218.361,0.2678
2018-08-26,0.09426905529591449,0.018355427393133887,138,104,170.4642,-290.9284,-224.8186,0.2659
2018-09-02,0.015037877364540502,0.026561469551540876,139,104,172.2643,-294.5286,-228.4188,0.282
2018-09-09,-0.06752805998593724,0.02154127613016532,140,104,171.2223,-292.4446,-226.3349,0.2638
2018-09-16,0.027560799578871416,0.016770284841045636,141,104,171.8863,-293.7726,-227.6628,0.2724
2018-09-23,0.03341599691984402,-0.003712414342205376,142,104,177.3019,-304.6038,-238.494,0.3189
2018-09-30,0.04228571149610438,-0.010051415754094187,143,104,179.6476,-309.2952,-243.1855,0.3492
2018-10-07,0.034501431717665745,0.006404206689350982,144,104,177.6118,-305.2236,-239.1138,0.3145
2018-10-14,0.0425596144187959,0.005618114201408784,145,104,180.2711,-310.5422,-244.4325,0.341
2018-10-21,-0.006688988150796652,-0.00232735152752849,146,104,184.4127,-318.8254,-252.7156,0.3904
2018-10-28,-0.009271031427932681,-0.047148730326187833,147,104,186.0555,-322.111,-256.0012,0.4044
2018-11-04,-0.032705152402551736,0.03111984198335088,148,104,182.0796,-314.1592,-248.0494,0.3586
2018-11-11,0.030161700416721282,0.036361002552406825,149,104,180.2737,-310.5475,-244.4377,0.3276
2018-11-18,0.057724184717840965,-0.013540904847175983,150,104,179.014,-308.028,-241.9183,0.3116
2018-11-25,-0.06882118292957203,-0.08139088002304193,151,104,179.2482,-308.4964,-242.3866,0.3137
2018-12-02,0.06480672551091012,-0.0912254710782901,152,104,179.3067,-308.6135,-242.5037,0.3133
2018-12-09,-0.17734602289574214,-0.11079852337022313,153,104,177.4524,-304.9049,-238.7951,0.3102
2018-12-16,0.03677925150329649,-0.03555143650021249,154,104,178.9994,-307.9987,-241.889,0.3309
2018-12-23,-0.013047715392475632,-0.0029964241085004163,155,104,178.9675,-307.9349,-241.8251,0.3122
2018-12-30,0.04224687008473772,0.004596813046828445,156,104,185.825,-321.65,-255.5402,0.3534
2019-01-06,0.04139736852922409,0.02672972354442089,157,104,185.5559,-321.1117,-255.002,0.3423
2019-01-13,0.036429271755401185,0.04023899805721777,158,104,185.4669,-320.9337,-254.824,0.3384
2019-01-20,0.028702257297334985,0.035672097178588685,159,104,185.5587,-321.1175,-255.0077,0.341
2019-01-27,0.04582160174115021,0.00965162681896132,160,104,185.3691,-320.7383,-254.6285,0.3407
2019-02-03,0.038626536071035215,0.00970364050457196,161,104,183.7284,-317.4569,-251.3471,0.3416
2019-02-10,-0.03477296675504511,-0.017905318901011217,162,104,179.591,-309.182,-243.0722,0.3285
2019-02-17,0.03774032798284711,0.014417920030160684,163,104,176.133,-302.2661,-236.1563,0.3045
2019-02-24,0.0939624707054569,-0.038444843972743274,164,104,178.604,-307.2081,-241.0983,0.319
2019-03-03,0.0815458048544511,-0.0710448726185388,165,104,177.9541,-305.9083,-239.7985,0.3218
2019-03-10,-0.05953758079006618,-0.08955120236654528,166,104,178.4701,-306.9403,-240.8305,0.3285
2019-03-17,-0.06965271974579891,-0.1460546701546326,167,104,176.6372,-303.2743,-237.1645,0.3138
2019-03-24,-0.044837589853608736,-0.08736208776818355,168,104,176.8006,-303.6012,-237.4915,0.3177
2019-03-31,0.16904345639380536,-0.10151092352946942,169,104,177.7642,-305.5285,-239.4187,0.3324
2019-04-07,-0.04340183412490063,-0.15541496676536398,170,104,177.7619,-305.5237,-239.414,0.3306
2019-04-14,0.036507416342463135,-0.1584635049950044,171,104,177.6921,-305.3842,-239.2745,0.3314
2019-04-21,-0.019048194970694474,-0.19726349460500534,172,104,177.9178,-305.8356,-239.7258,0.3365
2019-04-28,0.02469261259037163,-0.12924168343054276,173,104,178.5816,-307.1631,-241.0534,0.3414
2019-05-05,-0.00879402652257323,-0.10962890354701323,174,104,178.5981,-307.1961,-241.0864,0.3406
2019-05-12,0.06886668055991176,-0.0775558581577681,175,104,176.8676,-303.7352,-237.6254,0.3204
2019-05-19,0.2580967680922741,-0.08031204900489969,176,104,177.1158,-304.2316,-238.1218,0.3255
2019-05-26,-0.1832318891281,-0.20404070268404229,177,104,175.9687,-301.9374,-235.8277,0.3151
2019-06-02,0.04226357789028097,-0.25770607055130207,178,104,176.0434,-302.0868,-235.977,0.3242
2019-06-09,0.0073069218630320825,-0.11772529675277506,179,104,175.1,-300.2001,-234.0903,0.3004
2019-06-16,-0.01361277565376556,-0.173245041655344,180,104,172.7705,-295.541,-229.4312,0.3323
2019-06-23,-0.018622512098001684,-0.09241083857833653,181,104,172.586,-295.1721,-229.0623,0.3198
2019-06-30,-0.015697209997307515,-0.08938607666471164,182,104,174.4067,-298.8134,-232.7036,0.323
2019-07-07,-0.04405507490757664,0.0700334492746902,183,104,174.6233,-299.2467,-233.1369,0.3277
2019-07-14,0.05166380726711152,0.09192167120158469,184,104,174.5247,-299.0494,-232.9397,0.3282
2019-07-21,-0.013627902379336298,-0.04449678157591706,185,104,174.5251,-299.0502,-232.9404,0.3307
2019-07-28,0.03399302206220761,-0.06662615636684953,186,104,174.7217,-299.4434,-233.3336,0.3346
2019-08-04,0.004235051327211566,-0.03446228490163541,187,104,174.5139,-299.0279,-232.9181,0.3358
2019-08-11,0.024525100848050856,-0.07796603907280554,188,104,175.3992,-300.7984,-234.6886,0.3388
2019-08-18,-0.01820596449657241,-0.049284742217519134,189,104,175.3868,-300.7735,-234.6638,0.3408
2019-08-25,0.0005247966533458746,0.03900172088828504,190,104,174.9869,-299.9737,-233.8639,0.3368
2019-09-01,0.014583591799092216,-0.003914189106936,191,104,171.6303,-293.2605,-227.1507,0.2998
2019-09-08,0.0400357496265519,-0.003115126426144578,192,104,169.3318,-288.6637,-222.5539,0.2705
2019-09-15,0.0760222554140345,0.005430504452681704,193,104,169.3247,-288.6495,-222.5397,0.2765
2019-09-22,-0.06466130338341264,-0.09757137371749593,194,104,173.6923,-297.3847,-231.2749,0.2708
2019-09-29,0.05308442020836772,-0.042492262230923276,195,104,173.7705,-297.5409,-231.4311,0.2755
2019-10-06,0.013416810097052307,-0.03243527357284039,196,104,167.2448,-284.4897,-218.3799,0.2441
2019-10-13,-0.005529968009461198,-0.04415165669199655,197,104,167.5019,-285.0037,-218.894,0.2532
2019-10-20,-0.08785192507643891,0.17713675310642027,198,104,167.0942,-284.1883,-218.0785,0.2483
2019-10-27,0.015519710749858133,0.015884378845911006,199,104,167.1217,-284.2433,-218.1336,0.2499
2019-11-03,-0.02413390133642986,-0.031320903154688176,200,104,167.1685,-284.3371,-218.2273,0.2418
2019-11-10,-0.029436672295129755,-0.16420659597191067,201,104,167.0915,-284.183,-218.0732,0.241
2019-11-17,0.004705891037412935,0.05540228007737644,202,104,167.13,-284.2599,-218.1501,0.2441
2019-11-24,-0.19650619178591108,0.07939307244325987,203,104,160.3875,-270.7751,-204.6653,0.2808
2019-12-01,0.14896720075436193,0.20517819415057742,204,104,160.1414,-270.2827,-204.173,0.3283
2019-12-08,0.0016397926604153686,-0.059411386412908045,205,104,158.972,-267.9441,-201.8343,0.3112
2019-12-15,0.015714222032736442,-0.12859920639817504,206,104,159.1111,-268.2223,-202.1125,0.2984
2019-12-22,-0.020641688887343485,-0.05394936433166417,207,104,159.2567,-268.5134,-202.4036,0.295
2019-12-29,0.046120774188328134,-0.007973817102448657,208,104,158.9695,-267.939,-201.8293,0.2907
2020-01-05,0.0585259851595137,-0.01139958197090133,209,104,159.4902,-268.9805,-202.8707,0.2986
2020-01-12,0.14428649737111254,0.024076407388551678,210,104,156.2836,-262.5672,-196.4575,0.2582
2020-01-19,-0.03838238257954243,-0.0515536806708447,211,104,156.3187,-262.6374,-196.5276,0.2623
2020-01-26,0.004436564508687745,-0.05870699027232041,212,104,157.0045,-264.0091,-197.8993,0.2724
2020-02-02,0.022325287047835936,0.029874492713286856,213,104,156.9379,-263.8758,-197.7661,0.2542
2020-02-09,-0.013510774270155103,0.029368322849611554,214,104,158.0454,-266.0908,-199.981,0.2663
2020-02-16,0.07030837266328806,0.028477663769582964,215,104,157.6693,-265.3387,-199.2289,0.2594
2020-02-23,-0.07118633584523272,-0.006148285374899061,216,104,159.9582,-269.9164,-203.8066,0.2803
2020-03-01,-0.03258489579093458,0.02575213089847847,217,104,159.9668,-269.9337,-203.8239,0.2753
2020-03-08,0.023319442345144423,0.0484936249963003,218,104,161.3919,-272.7837,-206.674,0.2945
2020-03-15,0.008386718767101377,-0.004658373068899414,219,104,161.4004,-272.8008,-206.691,0.2941
2020-03-22,-0.050021691418678654,0.06609286874190624,220,104,160.6792,-271.3584,-205.2487,0.2632
2020-03-29,-0.028593464263672326,0.058067097491620104,221,104,161.987,-273.9741,-207.8643,0.2859
2020-04-05,-0.008596041469797908,0.12972999976904984,222,104,161.3015,-272.6031,-206.4933,0.2792
2020-04-12,0.013813032197280991,0.07649639615571657,223,104,161.8569,-273.7138,-207.604,0.2771
2020-04-19,0.04214562145076353,0.06340618250549018,224,104,161.8705,-273.741,-207.6312,0.2764
2020-04-26,0.02861169689889529,0.06654860379875786,225,104,161.5341,-273.0681,-206.9584,0.2888
2020-05-03,0.2433004224115874,0.11466208399116788,226,104,161.9814,-273.9627,-207.8529,0.2931
2020-05-10,-0.07682283368652684,0.023706417379952955,227,104,162.2859,-274.5718,-208.462,0.298
2020-05-17,-0.01352387253332543,0.004917787567842123,228,104,160.9495,-271.8989,-205.7891,0.2806
2020-05-24,0.017991489793041476,0.051189099611825675,229,104,161.942,-273.884,-207.7743,0.2812
2020-05-31,-0.02749184625690654,-0.03369035015232249,230,104,151.6546,-253.3093,-187.1995,0.2094
2020-06-07,0.07713072679385523,0.11462570794790143,231,104,150.1799,-250.3598,-184.25,0.2232
2020-06-14,0.03610249767588382,0.014767339925078792,232,104,150.1966,-250.3933,-184.2835,0.22
